sku,item_type,manufacturer,product_name,size,count,percent_of_customers
42126001,FRESH FRUIT,Tri-State,Tri-State Mandarin Oranges ,13.1,30,0.0262926
42127001,NUTS,Tri-State,Tri-State Mixed Nuts ,7.68,27,0.0237766
42128001,FRESH VEGETABLES,Tri-State,Tri-State Mushrooms ,15.1,28,0.0244685
42129001,FRESH VEGETABLES,Tri-State,Tri-State New Potatos ,14.5,30,0.0267329
42130001,FRESH VEGETABLES,Tri-State,Tri-State Onions ,13.8,29,0.0256007
42131001,FRESH FRUIT,Tri-State,Tri-State Oranges ,7.1,30,0.0262297
42132001,NUTS,Tri-State,Tri-State Party Nuts ,12.6,32,0.0281167
42133001,FRESH FRUIT,Tri-State,Tri-State Peaches ,8.5,32,0.0282425
42134001,FRESH FRUIT,Tri-State,Tri-State Plums ,7.36,31,0.0271732
42135001,FRESH VEGETABLES,Tri-State,Tri-State Potatos ,6.17,31,0.0269216
42136001,FRESH VEGETABLES,Tri-State,Tri-State Prepared Salad ,4.65,32,0.0280538
42137001,FRESH FRUIT,Tri-State,Tri-State Red Delcious Apples ,11.6,30,0.0263555
42138001,FRESH VEGETABLES,Tri-State,Tri-State Red Pepper ,6.55,27,0.0237766
42139001,FRESH VEGETABLES,Tri-State,Tri-State Shitake Mushrooms ,9.89,30,0.0267329
42140001,FRESH VEGETABLES,Tri-State,Tri-State Squash ,11,28,0.0249717
42141001,FRESH VEGETABLES,Tri-State,Tri-State Summer Squash ,17.2,32,0.0277393
42142001,FRESH VEGETABLES,Tri-State,Tri-State Sweet Onion ,20.3,29,0.025412
42143001,FRESH VEGETABLES,Tri-State,Tri-State Sweet Peas ,18.8,31,0.027299
42144001,FRESH FRUIT,Tri-State,Tri-State Tangerines ,14.6,30,0.0266071
42145001,FRESH VEGETABLES,Tri-State,Tri-State Tomatos ,18.6,29,0.0253491
42146001,NUTS,Tri-State,Tri-State Walnuts ,16.7,31,0.0276764
42147001,CANNED FRUIT,Toucan,Toucan Canned Mixed Fruit ,15.8,32,0.0281796
42148001,CANNED FRUIT,Toucan,Toucan Canned Peaches ,15.7,30,0.02667
42149001,DIAPERS,Tippy Toes,Diapers Size 3,36 ct,2,0.00169833
42150001,DIAPERS,Tippy Toes,Diapers Size 3,84 ct,2,0.00216766
42151001,DIAPERS,Tippy Toes,Diapers Size 3,96 ct,3,0.00264184
42152001,DIAPERS,Tippy Toes,Diapers Size 4,31 ct,3,0.00243862
42153001,DIAPERS,Tippy Toes,Diapers Size 4,72 ct,3,0.00230314
42154001,DIAPERS,Tippy Toes,Diapers Size 5,27 ct,2,0.00176123
42155001,DIAPERS,Tippy Toes,Diapers Size 5,70 ct,3,0.00251604
42156001,FRESH FISH,Tip Top,Tip Top Lox ,11.1,31,0.0268587
42157001,CHOCOLATE CANDY,Thresher,Thresher Malted Milk Balls ,8.3,31,0.0274248
42158001,CHOCOLATE CANDY,Thresher,Thresher Mint Chocolate Bar ,17.8,30,0.0264184
42159001,HARD CANDY,Thresher,Thresher Mints ,5.19,32,0.0277393
42160001,CHOCOLATE CANDY,Thresher,Thresher Semi-Sweet Chocolate Bar ,17.7,31,0.0273619
42161001,HARD CANDY,Thresher,Thresher Spicy Mints ,8.1,29,0.0251604
42162001,CHOCOLATE CANDY,Thresher,Thresher Tasty Candy Bar ,16.5,31,0.0270474
42163001,CHOCOLATE CANDY,Thresher,Thresher White Chocolate Bar ,9.5,27,0.024154
42164001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagel Thins 100% Whole Wheat,13 oz,31,0.0270474
42165001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagel Thins Cinnamon Raisin,13 oz,29,0.0256636
42166001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagel Thins Everything,13 oz,31,0.0276764
42167001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagel Thins Plain,13 oz,30,0.02667
42168001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels 100% Whole Wheat Mini,20 oz,31,0.0270474
42169001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Blueberry,22 oz,29,0.0253491
42170001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Cinnamon Raisin,22 oz,28,0.0243427
42171001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Cinnamon Raisin Mini,20 oz,28,0.0243427
42172001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Everything,22 oz,32,0.0281167
42173001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Hearty Grains Whole Wheat,22 oz,30,0.0263555
42174001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Plain,22 oz,31,0.0271732
42175001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Plain Mini,20 oz,30,0.0263555
42176001,BAKED GOODS OTHER THAN BREAD,Thomas,Bagels Plain Whole Grain,22 oz,30,0.0264813
42177001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Double Fiber Honey Wheat,12 oz,29,0.0253491
42178001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Hearty Grains 100% Whole Wheat,13 oz,30,0.0265442
42179001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Multi Grain Light,12 oz,30,0.0267329
42180001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Original,12 oz,31,0.0268587
42181001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Original,24 oz,30,0.0262297
42182001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Original Whole Grain With Omega 3,12 oz,31,0.0269845
42183001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Raisin,13 oz,29,0.0255378
42184001,BAKED GOODS OTHER THAN BREAD,Thomas,English Muffins Triple Health,11 oz,31,0.0268587
42185001,NUTS,Tell Tale,Tell Tale Almonds ,8.5,31,0.0269845
42186001,FRESH VEGETABLES,Tell Tale,Tell Tale Asparagus ,6.35,28,0.0249088
42187001,FRESH VEGETABLES,Tell Tale,Tell Tale Baby Onion ,14,31,0.0271732
42188001,FRESH VEGETABLES,Tell Tale,Tell Tale Beets ,6.09,32,0.0283683
42189001,FRESH VEGETABLES,Tell Tale,Tell Tale Broccoli ,17.8,30,0.0259781
42190001,NUTS,Tell Tale,Tell Tale Canned Peanuts ,6.86,34,0.029878
42191001,FRESH FRUIT,Tell Tale,Tell Tale Cantelope ,15.1,31,0.0271103
42192001,FRESH VEGETABLES,Tell Tale,Tell Tale Cauliflower ,13.6,30,0.0266071
42193001,FRESH VEGETABLES,Tell Tale,Tell Tale Corn on the Cob ,10,32,0.0277393
42194001,FRESH VEGETABLES,Tell Tale,Tell Tale Dried Mushrooms ,15.1,30,0.0267958
42195001,FRESH VEGETABLES,Tell Tale,Tell Tale Elephant Garlic ,5.42,31,0.0269845
42196001,FRESH FRUIT,Tell Tale,Tell Tale Fancy Plums ,19,28,0.0247201
42197001,TOFU,Tell Tale,Tell Tale Firm Tofu ,16.1,30,0.026041
42198001,FRESH VEGETABLES,Tell Tale,Tell Tale Fresh Lima Beans ,18.1,29,0.0255378
42199001,FRESH FRUIT,Tell Tale,Tell Tale Fuji Apples ,6.47,30,0.0262297
42200001,FRESH VEGETABLES,Tell Tale,Tell Tale Garlic ,6.22,29,0.0255378
42201001,FRESH FRUIT,Tell Tale,Tell Tale Golden Delcious Apples ,11.8,27,0.0239653
42202001,FRESH VEGETABLES,Tell Tale,Tell Tale Green Pepper ,11.3,30,0.0265442
42203001,FRESH FRUIT,Tell Tale,Tell Tale Honey Dew ,6.28,31,0.0276764
42204001,FRESH FRUIT,Tell Tale,Tell Tale Lemons ,7.32,29,0.0257265
42205001,FRESH VEGETABLES,Tell Tale,Tell Tale Lettuce ,19.2,34,0.0296893
42206001,FRESH FRUIT,Tell Tale,Tell Tale Limes ,11.6,29,0.0252233
42207001,FRESH FRUIT,Tell Tale,Tell Tale Macintosh Apples ,18.3,30,0.0263555
42208001,FRESH FRUIT,Tell Tale,Tell Tale Mandarin Oranges ,19.7,31,0.0275506
42209001,NUTS,Tell Tale,Tell Tale Mixed Nuts ,19.7,31,0.0269845
42210001,FRESH VEGETABLES,Tell Tale,Tell Tale Mushrooms ,11.8,29,0.0253491
42211001,FRESH VEGETABLES,Tell Tale,Tell Tale New Potatos ,12.8,30,0.0259781
42212001,FRESH VEGETABLES,Tell Tale,Tell Tale Onions ,13.3,30,0.0261039
42213001,FRESH FRUIT,Tell Tale,Tell Tale Oranges ,9.3,30,0.0261668
42214001,NUTS,Tell Tale,Tell Tale Party Nuts ,9.3,31,0.0270474
42215001,FRESH FRUIT,Tell Tale,Tell Tale Peaches ,10,30,0.0267958
42216001,FRESH FRUIT,Tell Tale,Tell Tale Plums ,7.85,31,0.0270474
42217001,FRESH VEGETABLES,Tell Tale,Tell Tale Potatos ,10.1,29,0.0255378
42218001,FRESH VEGETABLES,Tell Tale,Tell Tale Prepared Salad ,7.77,29,0.0259152
42219001,FRESH FRUIT,Tell Tale,Tell Tale Red Delcious Apples ,18.8,32,0.0280538
42220001,FRESH VEGETABLES,Tell Tale,Tell Tale Red Pepper ,6.02,29,0.025412
42221001,FRESH VEGETABLES,Tell Tale,Tell Tale Shitake Mushrooms ,18.6,29,0.0251604
42222001,FRESH VEGETABLES,Tell Tale,Tell Tale Squash ,20.2,28,0.0249088
42223001,FRESH VEGETABLES,Tell Tale,Tell Tale Summer Squash ,16.7,33,0.0287458
42224001,FRESH VEGETABLES,Tell Tale,Tell Tale Sweet Onion ,11.5,31,0.027299
42225001,FRESH VEGETABLES,Tell Tale,Tell Tale Sweet Peas ,12.5,30,0.0262297
42226001,FRESH FRUIT,Tell Tale,Tell Tale Tangerines ,11.8,31,0.0274248
42227001,FRESH VEGETABLES,Tell Tale,Tell Tale Tomatos ,10.8,29,0.025412
42228001,NUTS,Tell Tale,Tell Tale Walnuts ,13.6,29,0.025412
42229001,BAKED GOODS OTHER THAN BREAD,Tastykake,Cake Dreamies Creme Kakes,14 oz,31,0.0275506
42230001,BAKED GOODS OTHER THAN BREAD,Tastykake,Cake Kandy Kake Peanut Butter,8 oz,31,0.0271103
42231001,BAKED GOODS OTHER THAN BREAD,Tastykake,Cake Koffee Kake Cream Filled,12 oz,28,0.0243427
42232001,BAKED GOODS OTHER THAN BREAD,Tastykake,Cupcakes Buttercream,13.5 oz,28,0.0246572
42233001,BAKED GOODS OTHER THAN BREAD,Tastykake,Cupcakes Chocolate,12.75 oz,32,0.0279909
42234001,BAKED GOODS OTHER THAN BREAD,Tastykake,Cupcakes Krimpet Butterscotch,12 oz,31,0.0276135
42235001,BAKED GOODS OTHER THAN BREAD,Tastykake,Cupcakes Lemon,12.75 oz,32,0.0277393
42236001,BAKED GOODS OTHER THAN BREAD,Tastykake,Pie Apple,4 oz,27,0.024154
42237001,BAKED GOODS OTHER THAN BREAD,Tastykake,Pie Cherry,4 oz,29,0.0255378
42238001,BAKED GOODS OTHER THAN BREAD,Tastykake,Pie Chocolate Klair,4 oz,30,0.0266071
42239001,BAKED GOODS OTHER THAN BREAD,Tastykake,Pie Lemon,4 oz,31,0.027299
42240001,BAKED GOODS OTHER THAN BREAD,Tastykake,Pie Peach,4 oz,29,0.0250975
42241001,,Swiss Miss,Hot Cocoa Mix Marshmallows,10 pkg,29,0.0255378
42242001,SODA/JUICE/DRINKS,Swiss Miss,Hot Cocoa Mix Milk Chocolate,10 pkg,31,0.0274877
42243001,SODA/JUICE/DRINKS,Swiss Miss,Hot Cocoa Mix Milk Chocolate Canister,28.5 oz,28,0.0246572
42244001,SODA/JUICE/DRINKS,Swiss Miss,Hot Cocoa Mix Milk Chocolate No Sugar Added,8 pkg,31,0.0275506
42245001,CANNED FRUIT,Swell,Swell Canned Mixed Fruit ,7.61,30,0.0259781
42246001,CANNED FRUIT,Swell,Swell Canned Peaches ,12.3,31,0.0273619
42247001,SUGAR,Super,Super Brown Sugar ,7.25,31,0.027299
42248001,COOKING OIL,Super,Super Canola Oil ,7.89,29,0.0257894
42249001,PEANUT BUTTER,Super,Super Chunky Peanut Butter ,5.71,7,0.0061014
42250001,COOKING OIL,Super,Super Corn Oil ,5.63,27,0.024154
42251001,PEANUT BUTTER,Super,Super Creamy Peanut Butter ,15.2,5,0.00478048
42252001,PEANUT BUTTER,Super,Super Extra Chunky Peanut Butter ,17.7,6,0.00566109
42253001,SPICES,Super,Super Oregano ,11.6,32,0.0278022
42254001,SPICES,Super,Super Pepper ,15.7,30,0.0261668
42255001,SPICES,Super,Super Salt ,14.7,32,0.0283683
42256001,COOKING OIL,Super,Super Sesame Oil ,14.5,31,0.0275506
42257001,COOKING OIL,Super,Super Vegetable Oil ,7.23,33,0.0287458
42258001,SUGAR,Super,Super White Sugar ,10.6,31,0.0274248
42259001,CLEANERS,Sunset,Sunset Counter Cleaner ,18,29,0.025412
42260001,CLEANERS,Sunset,Sunset Glass Cleaner ,14.3,28,0.0249088
42261001,DEODORIZERS,Sunset,Sunset Room Freshener ,13.6,31,0.0271103
42262001,CLEANERS,Sunset,Sunset Toilet Bowl Cleaner ,19.8,31,0.0271732
42263001,,Sunny Delight Drinks,Sunny Delight Original,6 pkg,28,0.0245943
42264001,,Sunny D,Orange Citrus Punch Smooth,64 oz,31,0.0271732
42265001,,Sunny D,Orange Citrus Punch Tangy Original,8 pkg,30,0.0266071
42266001,BREAD,Sun-Maid,Bread Raisin,16 oz,11,0.00974965
42267001,BREAD,Sunbeam,Giant Bread,24 oz,13,0.0110706
42268001,,Stubbs,BBQ Sauce Original,18 oz,28,0.0247201
42269001,BREAD,Stroehmann,Bread Honey Wheat,22 oz,11,0.00987546
42270001,,Stove Top,Stuffing Mix Pork,6 oz,32,0.0278022
42271001,FROZEN FOOD,Stouffer's,Lasagna With Meat And Sauce Pasta,38 oz,32,0.0284941
42272001,,Steakumm,Sandwich Steaks Thin Sliced,21 oz,29,0.0259152
42273001,ACETOMINIFEN,Steady,Steady 200 MG Acetominifen ,4.32,30,0.02667
42274001,IBUPROFEN,Steady,Steady 200 MG Ibuprofen ,9.8,28,0.0245943
42275001,ASPIRIN,Steady,Steady Buffered Aspirin ,18.1,29,0.0257894
42276001,ASPIRIN,Steady,Steady Childrens Aspirin ,8.8,32,0.0283054
42277001,MOUTHWASH,Steady,Steady Mint Mouthwash ,20.1,31,0.0271103
42278001,,Starkist,Chunk Light Tuna Water (pouch),7.06 oz,29,0.0254749
42279001,COFFEE/CREAMER,Starbucks,Coffee Blonde Veranda,20 oz,32,0.0283683
42280001,COFFEE/CREAMER,Starbucks,Coffee Breakfast Blend,12 oz,31,0.0269216
42281001,COFFEE/CREAMER,Starbucks,Coffee Caffe Verona,12 oz,32,0.0283683
42282001,COFFEE/CREAMER,Starbucks,Coffee Caffe Verona Decaf,12 oz,29,0.0252233
42283001,COFFEE/CREAMER,Starbucks,Coffee Caramel,11 oz,30,0.0261668
42284001,COFFEE/CREAMER,Starbucks,Coffee Colombia,12 oz,32,0.0277393
42285001,COFFEE/CREAMER,Starbucks,Coffee Espresso,12 oz,31,0.0269845
42286001,COFFEE/CREAMER,Starbucks,Coffee French Roast,12 oz,30,0.0267329
42287001,COFFEE/CREAMER,Starbucks,Coffee French Roast,20 oz,29,0.0256636
42288001,COFFEE/CREAMER,Starbucks,Coffee Gold Coast Blend,12 oz,24,0.0210718
42289001,COFFEE/CREAMER,Starbucks,Coffee House Blend,12 oz,29,0.0257265
42290001,COFFEE/CREAMER,Starbucks,Coffee House Blend,20 oz,33,0.0289974
42291001,COFFEE/CREAMER,Starbucks,Coffee House Blend Decaf,12 oz,29,0.0258523
42292001,COFFEE/CREAMER,Starbucks,Coffee Italian,12 oz,29,0.0256007
42293001,COFFEE/CREAMER,Starbucks,Coffee Mocha,11 oz,29,0.0257265
42294001,COFFEE/CREAMER,Starbucks,Coffee Pike Place,12 oz,32,0.0281167
42295001,COFFEE/CREAMER,Starbucks,Coffee Sumatra,12 oz,30,0.0261039
42296001,COFFEE/CREAMER,Starbucks,Coffee Veranda Blend,12 oz,33,0.0289974
42297001,COFFEE/CREAMER,Starbucks,Coffee Willow Blend,12 oz,31,0.0268587
42298001,COFFEE/CREAMER,Starbucks,Coffee Willow Blend Decaf,12 oz,30,0.0264813
42299001,,Starbucks,Hot Cocoa Mix Premium Double Chocolate,8 pkg,30,0.0262297
42300001,,Starbucks,Hot Cocoa Mix Salted Caramel,8 pkg,31,0.0276764
42301001,,Starbucks,Hot Cocoa Mix Vanilla Brulee,8 pkg,29,0.0254749
42302001,,Star,Vinegar Balsamic,8.5 oz,31,0.0269216
42303001,,Sparkling ICE,Sparkling Spring Water Pomegranate Berry,17 oz,30,0.0262926
42304001,SODA/JUICE/DRINKS,Soy Dream,Soy Milk Vanilla,32 oz,30,0.0261668
42305001,,Soft & Precious,Baby Lotion Original,1 ct,30,0.0267329
42306001,,Soft & Precious,Hair Moist Creme,4 oz,32,0.0281796
42307001,,Soft & Precious,Hair Moisturizer Detangling,12 oz,31,0.0271732
42308001,,Snyders Of Hanover,Tortilla Chips Original,16 oz,32,0.0283054
42309001,,Snapple,Singles To Go Diet Green Tea,6 ct,32,0.0284312
42310001,,Snapple,Singles To Go Diet Lemon,6 ct,32,0.0278022
42311001,JELLY/JAM,Smuckers,Jam Grape,18 oz,39,0.0341552
42312001,JELLY/JAM,Smuckers,Jam Strawberry,18 oz,39,0.034281
42313001,JELLY/JAM,Smuckers,Jelly Grape,18 oz,40,0.0354762
42314001,JELLY/JAM,Smuckers,Squeeze Jelly Grape,20 oz,41,0.0356649
42315001,PEANUT BUTTER,Skippy,Peanut Butter Crunchy,28 oz,6,0.00534658
42316001,PEANUT BUTTER,Skippy,Peanut Butter Smooth,28 oz,6,0.00496918
42317001,GRAVY/SAUCE,Simple Truth Organic,Pasta Sauce Tomato Basil,25 oz,29,0.025412
42318001,SODA/JUICE/DRINKS,Silk,Almond Milk Original,.5 gal,33,0.0289345
42319001,SODA/JUICE/DRINKS,Silk,Soymilk Light Chocolate,64 oz,30,0.0266071
42320001,HAMBURGER,Ship Shape,Ship Shape Extra Lean Hamburger ,11.3,28,0.0249088
42321001,HAMBURGER,Ship Shape,Ship Shape Seasoned Hamburger ,6.26,29,0.0252233
42322001,RICE,Shady Lake,Shady Lake Rice Medly ,16.6,29,0.0256636
42323001,RICE,Shady Lake,Shady Lake Thai Rice ,8,27,0.0238395
42324001,COFFEE/CREAMER,Seattles Best,Coffee Level 3,12 oz,30,0.0265442
42325001,COFFEE/CREAMER,Seattles Best,Coffee Level 4,12 oz,31,0.0270474
42326001,COFFEE/CREAMER,Seattles Best,Coffee Level 5,12 oz,29,0.0255378
42327001,,Scrubbing Bubbles,All Purpose Cleaner Bleach 5-in-1,32 oz,30,0.0267958
42328001,,Scrubbing Bubbles,Shower Automatic Refill Liquid Shower Cleaner,34 oz,30,0.0262297
42329001,,Scotch-Brite,Sponges Blue,3 pkg,29,0.0252862
42330001,,Schmidt Old Tyme,English Muffins Original,12 oz,28,0.0247201
42331001,BREAD,Schmidt,Bread Amazin Raisin,20 oz,11,0.00968675
42332001,,Sargento,Tastings Medium Asiago,3.25 oz,30,0.02667
42333001,,Sargento,Tastings Parmentino,3.75 oz,31,0.0276764
42334001,BREAD,Sandwich Bros,Flatbread Angus Cheeseburgers,4 ct,11,0.00974965
42335001,BREAD,Sandwich Bros,Flatbread Chicken Melts,4 ct,12,0.0106303
42336001,CEREAL,Safeway Kitchens,Bran Flakes Cereal,17.3 oz,5,0.00446597
42337001,COFFEE/CREAMER,Safeway Kitchens,Coffee 100% Colombian,11 oz,30,0.0265442
42338001,COFFEE/CREAMER,Safeway Kitchens,Coffee 100% Colombian,34.5 oz,28,0.024783
42339001,COFFEE/CREAMER,Safeway Kitchens,Coffee Classic Decaf,13 oz,32,0.0284941
42340001,COFFEE/CREAMER,Safeway Kitchens,Coffee Classic Decaf,22.6 oz,29,0.0257265
42341001,COFFEE/CREAMER,Safeway Kitchens,Coffee Classic Regular,11.5 oz,29,0.0253491
42342001,COFFEE/CREAMER,Safeway Kitchens,Coffee Classic Regular,31.5 oz,30,0.0265442
42343001,COFFEE/CREAMER,Safeway Kitchens,Coffee French Roast,11.5 oz,30,0.0259781
42344001,COFFEE/CREAMER,Safeway Kitchens,Coffee French Roast,33 oz,29,0.0254749
42345001,COFFEE/CREAMER,Safeway Kitchens,Coffee Half The Caffeine,11.5 oz,31,0.0269216
42346001,CEREAL,Safeway Kitchens,Corn Flakes Cereal,18 oz,5,0.00396276
42347001,CEREAL,Safeway Kitchens,Crispy Rice Cereal,12 oz,5,0.00402566
42348001,CEREAL,Safeway Kitchens,Honey Nut Toasted Oats Cereal,12.25 oz,5,0.00440307
42349001,BREAD,Safeway,Bread Raisin,16 oz,12,0.0105045
42350001,BREAD,Safeway,Bread Texas Toast,24 oz,11,0.00943515
42351001,COFFEE/CREAMER,Safeway,Coffee Breakfast Blend,12 oz,29,0.0253491
42352001,COFFEE/CREAMER,Safeway,Coffee Buttery Caramel,12 oz,29,0.0253491
42353001,COFFEE/CREAMER,Safeway,Coffee Half Caf French,11 oz,30,0.0264813
42354001,,RW Knudsen,Juice Just Black Cherry,32 oz,30,0.0267958
42355001,MILK,Rowan Dairy,1.00% Milk,1 gal,133,0.116807
42356001,MILK,Rowan Dairy,1.00% Milk,1/2 gal,132,0.116052
42357001,MILK,Rowan Dairy,2.00% Milk,1 gal,128,0.112907
42358001,MILK,Rowan Dairy,2.00% Milk,1/2 gal,133,0.116996
42359001,MILK,Rowan Dairy,Whole Milk Milk,1 gal,134,0.11838
42360001,MILK,Rowan Dairy,Whole Milk Milk,1/2 gal,136,0.119952
42361001,SODA,Rowan Brand,Cola Soda,67.6 oz,31,0.0271103
42362001,,Rowan,Sugar White,4 lbs,30,0.0261039
42363001,SNACKS,Rolled Gold,Honey Wheat Rods Pretzels,10 oz,30,0.0267958
42364001,CANDY,Reeses,Peanut Butter Cups King Size,2.8 oz,30,0.026041
42365001,CLEANERS,Red Wing,Red Wing Counter Cleaner ,12,29,0.0257265
42366001,CLEANERS,Red Wing,Red Wing Glass Cleaner ,7.39,29,0.0256007
42367001,DEODORIZERS,Red Wing,Red Wing Room Freshener ,13.1,29,0.0255378
42368001,CLEANERS,Red Wing,Red Wing Toilet Bowl Cleaner ,18.3,29,0.0254749
42369001,BOLOGNA,Red Spade,Red Spade Beef Bologna ,9.3,27,0.023525
42370001,HOT DOGS,Red Spade,Red Spade Chicken Hot Dogs ,18.2,30,0.0261039
42371001,DELI SALADS,Red Spade,Red Spade Cole Slaw ,6.82,30,0.0264813
42372001,DELI MEATS,Red Spade,Red Spade Corned Beef ,17.2,29,0.0257894
42373001,HOT DOGS,Red Spade,Red Spade Foot-Long Hot Dogs ,14,28,0.0249088
42374001,BOLOGNA,Red Spade,Red Spade Low Fat Bologna ,8.89,31,0.0272361
42375001,DELI SALADS,Red Spade,Red Spade Low Fat Cole Slaw ,14.7,31,0.0269216
42376001,BOLOGNA,Red Spade,Red Spade Pimento Loaf ,12.1,29,0.0252233
42377001,DELI SALADS,Red Spade,Red Spade Potato Salad ,14.8,32,0.0280538
42378001,FRESH CHICKEN,Red Spade,Red Spade Roasted Chicken ,20.7,28,0.0249717
42379001,DELI MEATS,Red Spade,Red Spade Sliced Chicken ,17.1,32,0.0278022
42380001,DELI MEATS,Red Spade,Red Spade Sliced Ham ,5.13,32,0.0283054
42381001,DELI MEATS,Red Spade,Red Spade Sliced Turkey ,16.1,29,0.0257265
42382001,HOT DOGS,Red Spade,Red Spade Turkey Hot Dogs ,4.15,30,0.0265442
42383001,SNACKS,Red Oval Farms,Stone Wheat Thins Original,10.6 oz,28,0.0249717
42384001,,R.W. Knudsen,Just Black Cherry Juice,32 oz,31,0.0276135
42385001,HAMBURGER,Quick,Quick Extra Lean Hamburger ,17.8,30,0.0261039
